2012-10-23, 1, D
2012-10-25, 1, D
2012-11-20, 1, D
2012-11-21, 1, D
2012-11-22, 2, D
2012-11-23, 2, D
2012-11-27, 8, D
2012-11-28, 3, D
2012-11-29, 5, D
2012-11-30, 15, D
2012-12-01, 4, D
2012-12-02, 2, D
2012-12-03, 18, D
2012-12-04, 58, D
2012-12-05, 38, D
2012-12-06, 2, D
2012-12-07, 1, D
2012-12-10, 1, D
2012-12-11, 1, D
2012-12-14, 4, D
2012-12-15, 1, D
2012-12-17, 4, D
2012-12-18, 2, D
2012-12-20, 1, D
2012-12-21, 5, D
2012-12-25, 1, D
2012-12-30, 1, D
2013-01-01, 1, D
2013-01-03, 1, D
2013-01-04, 2, D
2013-01-07, 6, D
2013-01-08, 4, D
2013-01-09, 1, D
2013-01-10, 1, D
2013-01-11, 1, D
2013-01-14, 5, D
2013-01-15, 3, D
2013-01-16, 6, D
2013-01-17, 2, D
2013-01-18, 4, D
2013-01-20, 1, D
2013-01-21, 1, D
2013-01-22, 2, D
2013-01-23, 2, D
2013-01-24, 3, D
2013-01-25, 2, D
2013-01-26, 1, D
2013-01-28, 8, D
2013-01-29, 10, D
2013-01-30, 5, D
2013-01-31, 3, D
2013-02-01, 2, D
2013-02-02, 1, D
2013-02-03, 2, D
2013-02-04, 3, D
2013-02-05, 6, D
2013-02-06, 4, D
2013-02-07, 4, D
2013-02-08, 6, D
2013-02-11, 10, D
2013-02-12, 4, D
2013-02-13, 2, D
2013-02-14, 7, D
2013-02-15, 4, D
2013-02-16, 1, D
2013-02-17, 1, D
2013-02-18, 8, D
2013-02-19, 2, D
2013-02-20, 6, D
2013-02-21, 14, D
2013-02-22, 9, D
2013-02-25, 6, D
2013-02-26, 12, D
2013-02-27, 11, D
2013-02-28, 16, D
2013-03-01, 23, D
2013-03-02, 8, D
2013-03-03, 2, D
2013-03-04, 24, D
2013-03-05, 27, D
2013-03-06, 13, D
2013-03-07, 24, D
2013-03-08, 25, D
2013-03-09, 13, D
2013-03-10, 3, D
2013-03-11, 33, D
2013-03-12, 60, D
2013-03-13, 174, D
2013-03-14, 22, D
2013-03-15, 13, D
2013-03-16, 2, D
2013-03-17, 5, D
2013-03-18, 48, D
2013-03-19, 18, D
2013-03-20, 10, D
2013-03-21, 8, D
2013-03-22, 7, D
2013-03-23, 1, D
2013-03-24, 3, D
2013-03-25, 12, D
2013-03-26, 4, D
2013-03-27, 7, D
2013-03-28, 12, D
